Episode,Total_reward
433,-2414.36360057
434,-2199.12719741
435,-2589.87571159
436,-2594.43539789
437,-2331.82284282
438,-2198.20992523
439,-2557.65894657
440,-2418.12308179
441,-2414.86993889
442,-2247.38602038
443,-2387.99928505
444,-2503.96098224
445,-2317.38009306
446,-2234.38719545
447,-2561.40512929
448,-2714.75873316
449,-2287.11536121
450,-2380.46332265
451,-2365.89654217
452,-2298.16352863
453,-140.500773887
454,-73.8183761069
455,-74.9596673408
456,-83.6060675988
457,-86.6582827756
458,-72.4579059885
459,-80.8545322079
460,-79.4185691323
461,-87.142624709
462,-88.8654278659
463,-78.0506338895
464,-68.1238642287
465,-84.0800979032
466,-78.6380384665
467,-68.6392580705
468,-83.8729802862
469,-83.7455479018
470,-84.1732223888
471,-87.9869415054
472,-79.045119499
473,-84.6304823715
474,-73.7925894377
475,-70.7686342981
476,-80.2473112881
477,-79.4826871474
478,-68.6156540767
479,-92.492728499
480,-73.2277120226
481,-67.2663243758
482,-70.543932903
483,-71.1624436892
484,-96.4652814045
485,-85.0526990016
486,-69.2814916109
487,-82.7661585909
488,-72.1293214445
489,-82.4162220164
490,-71.8297529657
491,-67.1413015359
492,-71.1646943456
493,-71.1739242314
494,-70.0611471586
495,-67.93780465
496,-80.0462117121
497,-67.8089097564
498,-79.8382381124
499,-89.7467632821
500,-74.4642022962
501,-75.3184093325
502,-90.5292412774
503,-80.2735321602
504,-70.0844265335
505,-83.1551274322
506,-69.2276177929
507,-68.7377417223
508,-73.7856718673
509,-82.5554424373
510,-77.5367018219
511,-71.8774025705
512,-90.5261024176
513,-73.8244379843
514,-81.3009057676
515,-86.9407740452
516,-87.2305995268
517,-75.5388757899
518,-79.7388264566
519,-79.5560194264
520,-75.4700369873
521,-96.586190431
522,-66.6159970294
523,-98.3860408249
524,-79.694601549
525,-76.1550059977
526,-76.531654237
527,-82.1837493952
528,-68.4220923154
529,-76.3642695217
530,-73.2050387416
531,-95.1033677455
532,-79.1521618982
533,-79.2550091875
534,-74.8513759185
535,-73.3273435895
536,-73.7546504396
